id,slug,bucket,newness,n_countries,n_reasons,n_ban_source_links,has_court_case,has_named_plaintiff,template_fingerprint,reasoning,title
1446,every-last-word,REDUCE_TO_BAN_ONLY,0.486,0,0,0,0,0,,newness=0.49 and no rich signals — redundant with description_ban,Every Last Word
1447,far-from-the-tree,TEMPLATE_CONFIRMED,0.956,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",Far from the Tree
1448,girl-unframed,KEEP_NARRATIVE,0.941,0,0,0,0,0,,high newness (0.94) without rich-case signals — likely AI prose; flag for human review,"Girl, Unframed"
1449,gone,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Gone
1450,gravity,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"structural: ""was banned or restricted in United States in 2025 for…""","template structural: ""was banned or restricted in United States in 2025 for…""",Gravity
1451,holding-up-the-universe,KEEP_NARRATIVE,0.958,0,0,0,0,0,,high newness (0.96) without rich-case signals — likely AI prose; flag for human review,Holding Up the Universe
1452,in-other-lands,TEMPLATE_CONFIRMED,0.974,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",In Other Lands
1453,just-listen,REDUCE_TO_BAN_ONLY,0.477,0,0,0,0,0,,newness=0.48 and no rich signals — redundant with description_ban,Just Listen
1454,lord-of-shadows,TEMPLATE_CONFIRMED,0.977,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",Lord of Shadows
1455,ninth-house,KEEP_NARRATIVE,0.787,0,0,0,0,0,,high newness (0.79) without rich-case signals — likely AI prose; flag for human review,Ninth House
1456,peaches,KEEP_NARRATIVE,0.923,0,0,0,0,0,,high newness (0.92) without rich-case signals — likely AI prose; flag for human review,Peaches
1457,permanent-record,TEMPLATE_CONFIRMED,0.977,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",Permanent Record
1458,queen-of-air-and-darkness,TEMPLATE_CONFIRMED,0.896,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",Queen of Air and Darkness
1459,revelations,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",Revelations
1460,sing-you-home,TEMPLATE_CONFIRMED,0.978,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",Sing You Home
1461,someday-this-pain-will-be-useful-to-you,TEMPLATE_CONFIRMED,0.854,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",Someday This Pain Will Be Useful to You
1462,summer-and-the-city,TEMPLATE_CONFIRMED,0.909,0,0,0,0,0,"structural: ""was banned or restricted in United States in 2025 for…""","template structural: ""was banned or restricted in United States in 2025 for…""",Summer and the City
1463,swagger,REDUCE_TO_BAN_ONLY,0.697,0,0,0,0,0,,newness=0.70 and no rich signals — redundant with description_ban,Swagger
1464,tell-me-three-things,KEEP_NARRATIVE,0.790,0,0,0,0,0,,high newness (0.79) without rich-case signals — likely AI prose; flag for human review,Tell Me Three Things
1465,the-becoming-of-noah-shaw,TEMPLATE_CONFIRMED,0.935,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",The Becoming of Noah Shaw
1466,the-book-of-lost-things,KEEP_NARRATIVE,0.766,0,0,0,0,0,,high newness (0.77) without rich-case signals — likely AI prose; flag for human review,The Book Of Lost Things
1467,the-burning,TEMPLATE_CONFIRMED,0.956,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",The Burning
1468,the-damned,TEMPLATE_CONFIRMED,0.956,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",The Damned
1469,the-house-of-the-scorpion,TEMPLATE_CONFIRMED,0.909,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The House of the Scorpion
1470,the-naturals,REDUCE_TO_BAN_ONLY,0.500,0,0,0,0,0,,newness=0.50 and no rich signals — redundant with description_ban,The Naturals
1471,the-oreilly-factor-for-kids-a-survival-guide-for-americas-families,TEMPLATE_CONFIRMED,0.783,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The O'Reilly Factor for Kids: A Survival Guide for America's Families
1472,the-porcupine-of-truth,TEMPLATE_CONFIRMED,0.956,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",The Porcupine of Truth
1473,thousand-words,KEEP_NARRATIVE,0.732,0,0,0,0,0,,high newness (0.73) without rich-case signals — likely AI prose; flag for human review,Thousand Words
1474,today-tonight-tomorrow,TEMPLATE_CONFIRMED,0.977,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""","Today, Tonight, Tomorrow"
1475,tyrell,KEEP_NARRATIVE,0.982,0,0,0,0,0,,high newness (0.98) without rich-case signals — likely AI prose; flag for human review,Tyrell
1476,under-shifting-stars,TEMPLATE_CONFIRMED,0.977,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",Under Shifting Stars
1477,walk-two-moons,TEMPLATE_CONFIRMED,0.933,0,0,0,0,0,"conclusion: ""This case illustrates the paradox of censoring literature that crit","template conclusion: ""This case illustrates the paradox of censoring literature that critiqu…""",Walk Two Moons
1478,what-i-saw-and-how-i-lied,REDUCE_TO_BAN_ONLY,0.524,0,0,0,0,0,,newness=0.52 and no rich signals — redundant with description_ban,What I Saw And How I Lied
1479,home-after-dark,KEEP_NARRATIVE,0.707,0,0,0,0,0,,high newness (0.71) without rich-case signals — likely AI prose; flag for human review,Home After Dark
1480,lexicon,KEEP_NARRATIVE,0.865,0,0,0,0,0,,high newness (0.87) without rich-case signals — likely AI prose; flag for human review,Lexicon
1481,love-is-for-losers,KEEP_NARRATIVE,0.714,0,0,0,0,0,,high newness (0.71) without rich-case signals — likely AI prose; flag for human review,Love Is for Losers
1482,the-sea-of-tranquility,KEEP_NARRATIVE,0.957,0,0,0,0,0,,high newness (0.96) without rich-case signals — likely AI prose; flag for human review,The Sea of Tranquility
1483,10-things-i-can-see-from-here,KEEP_NARRATIVE,0.797,0,0,0,0,0,,high newness (0.80) without rich-case signals — likely AI prose; flag for human review,10 Things I Can See From Here
1484,1922,KEEP_NARRATIVE,0.797,0,0,0,0,0,,high newness (0.80) without rich-case signals — likely AI prose; flag for human review,1922
1485,1984-the-graphic-novel,KEEP_NARRATIVE,0.783,0,0,0,0,0,,high newness (0.78) without rich-case signals — likely AI prose; flag for human review,1984: The Graphic Novel
1486,a-yellow-raft-in-blue-water,KEEP_NARRATIVE,0.835,0,0,0,0,0,,high newness (0.84) without rich-case signals — likely AI prose; flag for human review,A Yellow Raft in Blue Water
1487,apt-pupil,KEEP_NARRATIVE,0.702,0,0,0,0,0,,high newness (0.70) without rich-case signals — likely AI prose; flag for human review,Apt Pupil
1488,assassination-classroom-vol-10,KEEP_NARRATIVE,0.816,0,0,0,0,0,,high newness (0.82) without rich-case signals — likely AI prose; flag for human review,"Assassination Classroom, Vol. 10"
1489,assassination-classroom-vol-9,KEEP_NARRATIVE,0.811,0,0,0,0,0,,high newness (0.81) without rich-case signals — likely AI prose; flag for human review,"Assassination Classroom, Vol. 9"
1490,being-transgender,KEEP_NARRATIVE,0.809,0,0,0,0,0,,high newness (0.81) without rich-case signals — likely AI prose; flag for human review,Being Transgender
1491,blaze,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Blaze
1492,born-at-midnight,KEEP_NARRATIVE,0.826,0,0,0,0,0,,high newness (0.83) without rich-case signals — likely AI prose; flag for human review,Born at Midnight
1493,cell,KEEP_NARRATIVE,0.963,0,0,0,0,0,,high newness (0.96) without rich-case signals — likely AI prose; flag for human review,Cell
1494,cherry-money-baby,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Cherry Money Baby
1495,club-dead,KEEP_NARRATIVE,0.971,0,0,0,0,0,,high newness (0.97) without rich-case signals — likely AI prose; flag for human review,Club Dead
1496,comanche-moon,KEEP_NARRATIVE,0.829,0,0,0,0,0,,high newness (0.83) without rich-case signals — likely AI prose; flag for human review,Comanche Moon
1497,cursors-fury,KEEP_NARRATIVE,0.872,0,0,0,0,0,,high newness (0.87) without rich-case signals — likely AI prose; flag for human review,Cursor's Fury
1498,danse-macabre,KEEP_NARRATIVE,0.958,0,0,0,0,0,,high newness (0.96) without rich-case signals — likely AI prose; flag for human review,Danse Macabre
1499,dead-to-the-world,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Dead to the World
1500,dead-until-dark,REDUCE_TO_BAN_ONLY,0.615,0,0,0,0,0,,newness=0.62 and no rich signals — redundant with description_ban,Dead Until Dark
1501,definitely-dead,KEEP_NARRATIVE,0.947,0,0,0,0,0,,high newness (0.95) without rich-case signals — likely AI prose; flag for human review,Definitely Dead
1502,every-heart-a-doorway,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Every Heart a Doorway
1503,finders-keepers,KEEP_NARRATIVE,0.960,0,0,0,0,0,,high newness (0.96) without rich-case signals — likely AI prose; flag for human review,Finders Keepers
1504,flirtin-with-the-monster-your-favorite-authors-on-ellen-hopkins-crank-and-glass,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Flirtin' with the Monster: Your Favorite Authors on Ellen Hopkins' Crank and Glass
1505,friction,KEEP_NARRATIVE,0.971,0,0,0,0,0,,high newness (0.97) without rich-case signals — likely AI prose; flag for human review,Friction
1506,ghost-world,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Ghost World
1507,girl-parts,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Girl Parts
1508,good-bye-chunky-rice,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,"Good-Bye, Chunky Rice"
1509,grace-and-glory,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Grace and Glory
1510,gwendys-final-task,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Gwendy's Final Task
1511,handle-with-care,KEEP_NARRATIVE,0.976,0,0,0,0,0,,high newness (0.98) without rich-case signals — likely AI prose; flag for human review,Handle with Care
1512,high-school,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,High School
1513,hold-me-closer-the-tiny-cooper-story,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Hold Me Closer: The Tiny Cooper Story
1514,if-he-had-been-with-me,KEEP_NARRATIVE,0.811,0,0,0,0,0,,high newness (0.81) without rich-case signals — likely AI prose; flag for human review,If He Had Been With Me
1515,imaginary-friend,KEEP_NARRATIVE,0.810,0,0,0,0,0,,high newness (0.81) without rich-case signals — likely AI prose; flag for human review,Imaginary Friend
1516,insomnia,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Insomnia
1517,its-so-amazing-a-book-about-eggs-sperm-birth-babies-and-families,KEEP_NARRATIVE,0.803,0,0,0,0,0,,high newness (0.80) without rich-case signals — likely AI prose; flag for human review,"It's So Amazing!: A Book about Eggs, Sperm, Birth, Babies, and Families"
1518,jarhead-a-marines-chronicle-of-the-gulf-war-and-other-battles,KEEP_NARRATIVE,1.000,0,0,0,0,1,,rich signals: named-plaintiff; newness=1.00,Jarhead: A Marine's Chronicle of the Gulf War and Other Battles
1519,jaws,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Jaws
1520,joyland,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Joyland
1521,just-after-sunset,KEEP_NARRATIVE,0.991,0,0,0,0,0,,high newness (0.99) without rich-case signals — likely AI prose; flag for human review,Just After Sunset
1523,kafka-on-the-shore,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Kafka on the Shore
1525,kate-in-waiting,KEEP_NARRATIVE,0.980,0,0,0,0,0,,high newness (0.98) without rich-case signals — likely AI prose; flag for human review,Kate in Waiting
1527,keeping-faith,KEEP_NARRATIVE,0.833,0,0,0,0,0,,high newness (0.83) without rich-case signals — likely AI prose; flag for human review,Keeping Faith
1529,kings-rising,KEEP_NARRATIVE,0.961,0,0,0,0,0,,high newness (0.96) without rich-case signals — likely AI prose; flag for human review,Kings Rising
1531,laura-dean-keeps-breaking-up-with-me,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Laura Dean Keeps Breaking Up with Me
1533,layla,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Layla
1535,lessons-from-a-dead-girl,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Lessons from a Dead Girl
1537,leviathan-wakes,REDUCE_TO_BAN_ONLY,0.500,0,0,0,0,0,,newness=0.50 and no rich signals — redundant with description_ban,Leviathan Wakes
1539,me-him-them-and-it,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,"Me, Him, Them and It"
1541,memnoch-the-devil,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Memnoch the Devil
1543,midnight-jewel,KEEP_NARRATIVE,0.870,0,0,0,0,0,,high newness (0.87) without rich-case signals — likely AI prose; flag for human review,Midnight Jewel
1545,my-jim-a-novel,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,My Jim: A Novel
1547,nick-and-norahs-infinite-playlist,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Nick and Norah's Infinite Playlist
1551,one-man-guy,TEMPLATE_CONFIRMED,0.974,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",One Man Guy
1553,perfect-match,KEEP_NARRATIVE,0.774,0,0,0,0,0,,high newness (0.77) without rich-case signals — likely AI prose; flag for human review,Perfect Match
1555,picture-perfect,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"structural: ""was banned or restricted in United States in 2025 for…""","template structural: ""was banned or restricted in United States in 2025 for…""",Picture Perfect
1557,plain-truth,TEMPLATE_CONFIRMED,0.975,0,0,0,0,0,"conclusion: ""This case illustrates how religious authority and the state have hi","template conclusion: ""This case illustrates how religious authority and the state have histo…""",Plain Truth
1559,pride-of-baghdad,TEMPLATE_CONFIRMED,0.872,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Pride of Baghdad
1561,pumpkin,KEEP_NARRATIVE,0.965,0,0,0,0,0,,high newness (0.96) without rich-case signals — likely AI prose; flag for human review,Pumpkin
1563,release,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",Release
1565,revival,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"structural: ""was banned or restricted in United States in 2025 for…""","template structural: ""was banned or restricted in United States in 2025 for…""",Revival
1567,salem-falls,KEEP_NARRATIVE,0.857,0,0,0,0,0,,high newness (0.86) without rich-case signals — likely AI prose; flag for human review,Salem Falls
1569,salems-lot,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"structural: ""was banned or restricted in United States in 2025 for…""","template structural: ""was banned or restricted in United States in 2025 for…""",Salem's Lot
1571,scars,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",Scars
1573,second-glance,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Second Glance
1575,seize-the-night,REDUCE_TO_BAN_ONLY,0.000,0,0,0,0,0,,newness=0.00 and no rich signals — redundant with description_ban,Seize the Night
1577,shut-up,REDUCE_TO_BAN_ONLY,0.685,0,0,0,0,0,,newness=0.69 and no rich signals — redundant with description_ban,Shut Up!
1579,solo-quedo-nuestra-historia,TEMPLATE_CONFIRMED,0.950,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",Solo quedó nuestra historia
1581,songs-of-a-humpback-whale,KEEP_NARRATIVE,0.943,0,0,0,0,0,,high newness (0.94) without rich-case signals — likely AI prose; flag for human review,Songs of a Humpback Whale
1583,stealing-heaven,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Stealing Heaven
1585,streets-of-laredo,KEEP_NARRATIVE,0.820,0,0,0,0,0,,high newness (0.82) without rich-case signals — likely AI prose; flag for human review,Streets of Laredo
1587,tantalize,TEMPLATE_CONFIRMED,0.977,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",Tantalize
1589,tar-baby,KEEP_NARRATIVE,0.750,0,0,0,0,0,,high newness (0.75) without rich-case signals — likely AI prose; flag for human review,Tar Baby
1591,telling,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",Telling
1593,the-bachman-books,TEMPLATE_CONFIRMED,0.973,0,0,0,0,0,"conclusion: ""This illustrates how the presence of offensive language…""","template conclusion: ""This illustrates how the presence of offensive language…""",The Bachman Books
1595,the-bazaar-of-bad-dreams,KEEP_NARRATIVE,0.973,0,0,0,0,0,,high newness (0.97) without rich-case signals — likely AI prose; flag for human review,The Bazaar of Bad Dreams
1597,the-clan-of-the-cave-bear,KEEP_NARRATIVE,0.947,0,0,0,0,0,,high newness (0.95) without rich-case signals — likely AI prose; flag for human review,The Clan of the Cave Bear
1599,the-dark-tower,KEEP_NARRATIVE,0.979,0,0,0,0,0,,high newness (0.98) without rich-case signals — likely AI prose; flag for human review,The Dark Tower
1601,the-day-of-the-jackal,TEMPLATE_CONFIRMED,0.878,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Day of the Jackal
1603,the-god-box,TEMPLATE_CONFIRMED,0.977,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",The God Box
1605,the-gunslinger,KEEP_NARRATIVE,0.975,0,0,0,0,0,,high newness (0.97) without rich-case signals — likely AI prose; flag for human review,The Gunslinger
1607,the-hit,KEEP_NARRATIVE,0.944,0,0,0,0,0,,high newness (0.94) without rich-case signals — likely AI prose; flag for human review,The Hit
1609,the-hundred-thousand-kingdoms,TEMPLATE_CONFIRMED,0.902,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Hundred Thousand Kingdoms
1611,the-little-black-book-for-girlz-a-book-on-healthy-sexuality,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,The Little Black Book for Girlz: A Book on Healthy Sexuality
1613,the-long-walk,KEEP_NARRATIVE,0.958,0,0,0,0,0,,high newness (0.96) without rich-case signals — likely AI prose; flag for human review,The Long Walk
1615,the-love-hypothesis,TEMPLATE_CONFIRMED,0.952,0,0,0,0,0,"structural: ""was banned or restricted in United States in 2025 for…""","template structural: ""was banned or restricted in United States in 2025 for…""",The Love Hypothesis
1617,the-love-interest,TEMPLATE_CONFIRMED,0.977,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",The Love Interest
1619,the-lovers-dictionary,TEMPLATE_CONFIRMED,0.977,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",The Lover's Dictionary
1621,the-magician-king,TEMPLATE_CONFIRMED,0.978,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",The Magician King
1623,the-magicians,TEMPLATE_CONFIRMED,0.956,0,0,0,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",The Magicians
1625,the-regulators,KEEP_NARRATIVE,0.970,0,0,0,0,0,,high newness (0.97) without rich-case signals — likely AI prose; flag for human review,The Regulators
1627,berlin-alexanderplatz,KEEP_NARRATIVE,0.844,0,0,0,0,0,,high newness (0.84) without rich-case signals — likely AI prose; flag for human review,Berlin Alexanderplatz
1628,the-storyteller,TEMPLATE_CONFIRMED,0.976,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Storyteller
1630,steppenwolf,TEMPLATE_CONFIRMED,0.978,1,1,1,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Steppenwolf
1631,the-swallows,KEEP_NARRATIVE,0.782,1,4,6,0,0,,"rich signals: 4-reasons, 6-ban_source_links; newness=0.78",The Swallows
1633,the-moors-last-sigh,TEMPLATE_CONFIRMED,0.939,1,1,1,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Moor's Last Sigh
1634,the-taking-of-jake-livingston,TEMPLATE_CONFIRMED,0.889,1,3,5,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",The Taking of Jake Livingston
1636,such-a-long-journey,TEMPLATE_CONFIRMED,0.979,1,1,1,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Such a Long Journey
1637,the-tale-of-a-body-thief,KEEP_NARRATIVE,0.333,1,5,5,0,0,,"rich signals: 5-reasons, 5-ban_source_links; newness=0.33",The Tale of a Body Thief
1639,the-talisman,KEEP_NARRATIVE,0.976,1,4,6,0,0,,"rich signals: 4-reasons, 6-ban_source_links; newness=0.98",The Talisman
1641,the-polyester-prince,TEMPLATE_CONFIRMED,0.941,1,2,1,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Polyester Prince
1642,the-talk-conversations-about-race-love-and-truth,TEMPLATE_CONFIRMED,0.884,1,1,3,0,0,"conclusion: ""This case illustrates the paradox of censoring literature that crit","template conclusion: ""This case illustrates the paradox of censoring literature that critiqu…""","The Talk: Conversations about Race, Love and Truth"
1644,the-hindus-an-alternative-history,TEMPLATE_CONFIRMED,0.940,1,1,1,0,0,"conclusion: ""This case illustrates how religious authority and the state have hi","template conclusion: ""This case illustrates how religious authority and the state have histo…""",The Hindus: An Alternative History
1645,thinner,KEEP_NARRATIVE,0.942,1,3,4,0,0,,"rich signals: 3-reasons, 4-ban_source_links; newness=0.94",Thinner
1647,great-soul,TEMPLATE_CONFIRMED,0.979,1,1,1,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Great Soul
1648,touch,KEEP_NARRATIVE,0.813,1,3,4,0,0,,"rich signals: 3-reasons, 4-ban_source_links; newness=0.81",Touch
1650,the-wretched-of-the-earth,TEMPLATE_CONFIRMED,0.941,1,1,1,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Wretched of the Earth
1651,ttyl,TEMPLATE_CONFIRMED,1.000,1,4,7,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",ttyl
1653,black-beauty,KEEP_NARRATIVE,0.911,1,2,1,0,0,,high newness (0.91) without rich-case signals — likely AI prose; flag for human review,Black Beauty
1654,two-way-street,KEEP_NARRATIVE,0.938,1,3,4,0,0,,"rich signals: 3-reasons, 4-ban_source_links; newness=0.94",Two-Way Street
1656,the-little-prince,TEMPLATE_CONFIRMED,0.979,1,1,1,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Little Prince
1657,understanding-sexual-orientation-and-gender-identity,TEMPLATE_CONFIRMED,1.000,1,1,3,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",Understanding Sexual Orientation and Gender Identity
1659,operacion-masacre,KEEP_NARRATIVE,0.878,1,1,1,0,0,,high newness (0.88) without rich-case signals — likely AI prose; flag for human review,Operacion Masacre
1660,unpregnant,KEEP_NARRATIVE,0.833,1,2,3,0,0,,rich signals: 3-ban_source_links; newness=0.83,Unpregnant
1662,uses-for-boys,KEEP_NARRATIVE,0.977,1,2,5,0,0,,rich signals: 5-ban_source_links; newness=0.98,Uses for Boys
1664,vanishing-acts,KEEP_NARRATIVE,0.963,1,2,6,0,0,,rich signals: 6-ban_source_links; newness=0.96,Vanishing Acts
1666,we-contain-multitudes,TEMPLATE_CONFIRMED,0.977,1,2,6,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",We Contain Multitudes
1668,when-it-happens,TEMPLATE_CONFIRMED,0.977,1,3,5,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",When It Happens
1670,winters-bone,KEEP_NARRATIVE,0.763,1,4,4,0,0,,"rich signals: 4-reasons, 4-ban_source_links; newness=0.76",Winter's Bone
